station__id,station__name,station__terminalName,station__lat,station__long,station__installed,station__locked,station__installDate,station__removalDate,station__temporary
1,"River Street , Clerkenwell",1023,51.52916347,-0.109970527,TRUE,FALSE,1.27895E+12,,FALSE
2,"Phillimore Gardens, Kensington",1018,51.49960695,-0.197574246,TRUE,FALSE,1.27859E+12,,FALSE
3,"Christopher Street, Liverpool Street",1012,51.52128377,-0.084605692,TRUE,FALSE,1.27824E+12,,FALSE
4,"St. Chad's Street, King's Cross",1013,51.53005939,-0.120973687,TRUE,FALSE,1.27824E+12,,FALSE
5,"Sedding Street, Sloane Square",3420,51.49313,-0.156876,TRUE,FALSE,1.27824E+12,,FALSE
6,"Broadcasting House, Marylebone",3424,51.51811784,-0.144228881,TRUE,FALSE,1.27824E+12,,FALSE
7,"Charlbert Street, St. John's Wood",3422,51.53430039,-0.1680743,TRUE,FALSE,1.27824E+12,,FALSE
8,"Maida Vale, Maida Vale",3423,51.529857,-0.18348604,TRUE,FALSE,1.54098E+12,,FALSE
9,"New Globe Walk, Bankside",1015,51.5073853,-0.096440751,TRUE,FALSE,1.27824E+12,,FALSE
10,"Park Street, Bankside",1024,51.50597426,-0.092754157,TRUE,FALSE,1.27824E+12,,FALSE
11,"Brunswick Square, Bloomsbury",1022,51.52395143,-0.122502346,TRUE,FALSE,1.27834E+12,,FALSE
12,"Malet Street, Bloomsbury",980,51.52168078,-0.130431727,TRUE,FALSE,1.27834E+12,,FALSE
13,"Scala Street, Fitzrovia",970,51.51991453,-0.136039674,TRUE,FALSE,1.27834E+12,,FALSE
14,"Belgrove Street , King's Cross",1011,51.52994371,-0.123616824,TRUE,FALSE,1.27834E+12,,FALSE
15,"Great Russell Street, Bloomsbury",988,51.51772703,-0.127854211,TRUE,FALSE,1.27834E+12,,FALSE
16,"Cartwright Gardens , Bloomsbury",1010,51.52635795,-0.125979294,TRUE,FALSE,1.27834E+12,,FALSE
17,"Hatton Wall, Holborn",1008,51.5216612,-0.109006325,TRUE,FALSE,1.27842E+12,,FALSE
18,"Drury Lane, Covent Garden",1007,51.51477076,-0.12221963,TRUE,FALSE,1.27843E+12,,FALSE
19,"Taviton Street, Bloomsbury",1009,51.52505093,-0.131161087,TRUE,FALSE,1.27843E+12,,FALSE
21,"Hampstead Road (Cartmel), Euston",3426,51.53007835,-0.13884627,TRUE,FALSE,1.27843E+12,,FALSE
22,"Northington Street , Holborn",3425,51.5222641,-0.114079481,TRUE,FALSE,1.27843E+12,,FALSE
23,"Red Lion Square, Holborn",3421,51.51943538,-0.119123345,TRUE,FALSE,1.27843E+12,,FALSE
24,"British Museum, Bloomsbury",981,51.51908011,-0.124678402,TRUE,FALSE,1.27843E+12,,FALSE
25,"Doric Way , Somers Town",1004,51.5288338,-0.132250369,TRUE,FALSE,1.27843E+12,,FALSE
26,"Ampton Street , Clerkenwell",1019,51.52728093,-0.11829517,TRUE,FALSE,1.27843E+12,,FALSE
27,"Bouverie Street, Temple",1021,51.51382102,-0.107927706,TRUE,FALSE,1.2785E+12,,FALSE
28,"Bolsover Street, Fitzrovia",1025,51.52351808,-0.143613641,TRUE,FALSE,1.2785E+12,,FALSE
29,"Hereford Road, Bayswater",1016,51.513735,-0.193487,TRUE,FALSE,1.2785E+12,,FALSE
30,"Windsor Terrace, Hoxton",1029,51.52915444,-0.093421615,TRUE,FALSE,1.2785E+12,,FALSE
31,"Fanshaw Street, Hoxton",3427,51.52953709,-0.083353323,TRUE,FALSE,1.2785E+12,,FALSE
32,"Leonard Circus , Shoreditch",1020,51.52469624,-0.084439283,TRUE,FALSE,1.27851E+12,,FALSE
33,"Central House, Aldgate",3430,51.5156,-0.070056,TRUE,FALSE,1.27851E+12,,FALSE
34,"Pancras Road, King's Cross",3428,51.5341235,-0.129386874,TRUE,FALSE,1.27851E+12,,FALSE
36,"De Vere Gardens, Kensington",3446,51.50173726,-0.184980612,TRUE,FALSE,1.27852E+12,,FALSE
37,"Penywern Road, Earl's Court",3444,51.49159394,-0.192369256,TRUE,FALSE,1.27852E+12,,FALSE
38,"Abingdon Villas, Kensington",3442,51.4973875,-0.197245586,TRUE,FALSE,1.27858E+12,,FALSE
39,"Shoreditch High Street, Shoreditch",3445,51.5263778,-0.078130921,TRUE,FALSE,1.2786E+12,,FALSE
40,"Commercial Street, Shoreditch",1083,51.52127071,-0.0755789,TRUE,FALSE,1.2786E+12,,FALSE
41,"Pindar Street, Liverpool Street",1084,51.520955,-0.083493552,TRUE,FALSE,1.2786E+12,,FALSE
