,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
0,51.41345479409145,-0.15638925981484783,51.48249783542163,-0.1738263074791302,Colliers Wood,South Kensington,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Danvers Street, West Chelsea","(51.4831649, -0.17272)",23,13.274647887323944
1,51.603113855242185,-0.09805265902212824,51.57885323005196,-0.053344709738961535,Turnpike Lane,Tottenham Hale,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",12,9.597116200169635
2,51.44568865809557,-0.15593019869221636,51.450876737355834,-0.08480579946970439,Balham,Brixton,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",9,24.045454545454547
3,51.53772659782387,-0.027898659721241517,51.41481870642368,-0.17328423541420582,Pudding Mill Lane,Colliers Wood,"Wendon Street, Old Ford","(51.536330299999996, -0.0263755)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",37,79.25
4,51.54332692142954,-0.10569998291866443,51.526110529559396,-0.18896830979801021,Highbury & Islington,Warwick Avenue,"Cloudesley Road, Angel","(51.5366251, -0.1097333)","Warwick Avenue Station, Maida Vale","(51.52325459999999, -0.1838447)",19,27.940928270042196
5,51.58600742570811,-0.12797425754177305,51.48586310815274,-0.1958697820515209,Highgate,West Brompton,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Halford Road, West Kensington","(51.48366970000001, -0.1983809)",28,29.78021978021978
6,51.592387448418954,-0.04904380061979084,51.57547791320461,-0.12097804873910446,Blackhorse Road,Archway,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",26,31.587786259541986
7,51.456416183568166,-0.07175565757907669,51.556575055700435,-0.19821385442264078,New Cross Gate,Kilburn,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)",32,19.46938775510204
8,51.47469679098136,-0.08967468965880625,51.50567209379476,-0.20543699828174838,Oval,Holland Park,"Cranmer Road, Stockwell","(51.4795244, -0.1102848)","Abbotsbury Road, Holland Park","(51.5047598, -0.20821620000000002)",21,38.42553191489362
9,51.54675081412681,-0.18565691001489049,51.454053816765594,-0.02781859923066675,West Hampstead,Lewisham,"Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",47,61.833333333333336
10,51.4147842221761,-0.13912091962358056,51.54664271869789,-0.21483758986837592,Tooting Broadway,Willesden Green,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Bevington Road West, North Kensington","(51.5208259, -0.2076607)",34,14.381742738589212
11,51.457694791237,-0.02801511501202454,51.416823786078005,-0.021404702167691567,Lewisham,Lewisham,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",0,14.870292887029288
12,51.51046199571795,-0.17512621264288095,51.478457784708596,-0.03945418224520693,Lancaster Gate,New Cross Gate,"Lancaster Gate , Bayswater","(51.5115786, -0.18024820000000003)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",25,49.333333333333336
13,51.52413130725181,-0.09977210440439624,51.482869111398955,-0.19139996416483138,Barbican,Fulham Broadway,"Berry Street, Clerkenwell","(51.523451200000004, -0.1003311)","Hortensia Road, West Brompton","(51.4818392, -0.18527879999999997)",24,30.660377358490567
14,51.57814208866469,-0.07224735141463672,51.59768436014637,-0.08907334265131438,Seven Sisters,Turnpike Lane,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",9,9.597116200169635
15,51.50890544716672,-0.1732440566897018,51.46661375562411,-0.08061066255443698,Lancaster Gate,Brixton,"Triangle Car Park, Hyde Park","(51.50613999999999, -0.16961199999999999)","St John's Crescent, Brixton","(51.4661591, -0.11195230000000002)",17,24.626540971718637
17,51.46572438147121,-0.07279311149217584,51.52189888215234,-0.1602337176007068,New Cross Gate,Marylebone,"St John's Crescent, Brixton","(51.4661591, -0.11195230000000002)","Dorset Square, Marylebone","(51.5225534, -0.16105379999999997)",24,21.927461139896373
18,51.47163033024965,-0.1748341058255069,51.60101754310963,-0.10740316074948951,Fulham Broadway,Turnpike Lane,"Fawcett Close, Battersea","(51.469249600000005, -0.1742286)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",30,16.545182525433873
19,51.445430351887865,-0.02280646557766343,51.47274613190692,-0.16082243649863223,Lewisham,Clapham Common,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Culvert Road, Battersea","(51.471501399999994, -0.1586109)",41,60.25
20,51.44953980238187,-0.05261270129153049,51.59621762828006,-0.13027676503303037,New Cross Gate,Bounds Green,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",35,14.150943396226415
21,51.559625027818235,-0.14532823822792545,51.60700789999774,-0.1953246664183984,Tufnell Park,West Finchley,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Allington street, Westminster","(51.5806125, -0.2282815)",13,48.88888888888889
22,51.52963005608429,-0.0771827041777333,51.55489872479025,-0.08553802360928746,Old Street,Arsenal,"Falkirk Street, Hoxton","(51.53079109999999, -0.0786154)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",13,9.944129325014181
23,51.46149016588235,-0.21255031406057218,51.58224892804587,-0.09172084044337521,East Putney,Seven Sisters,"Oxford Road, Putney","(51.461633500000005, -0.212071)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",36,39.0
24,51.4775861867687,-0.15944975380046833,51.53756145432987,-0.06388981781530638,Sloane Square,Bethnal Green,"Ethelburga Estate, Battersea Park","(51.4791075, -0.1564981)","Regent's Row , Haggerston ","(51.535754499999996, -0.06563739999999998)",17,29.94871794871795
25,51.5972147562921,-0.09364414912714464,51.440768929219686,-0.0934001504986241,Turnpike Lane,Brixton,"Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",29,19.77923976608187
26,51.412088999780515,-0.2029865136781293,51.46448631929424,-0.11580964594585935,South Wimbledon,Brixton,"Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)","St John's Crescent, Brixton","(51.4661591, -0.11195230000000002)",16,31.14772727272727
27,51.53214332518651,-0.1546011691042912,51.54974129743626,-0.04428041814372276,Baker Street,Bethnal Green,"Prince Albert Road, The Regent's Park","(51.531270500000005, -0.1569694)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",17,29.404761904761905
28,51.57834805640705,-0.1260193729179701,51.52069093251643,-0.11855759883492563,Highgate,Holborn,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Theobald's Road , Holborn","(51.52046179999999, -0.1174057)",18,18.423384943940203
29,51.54410863800425,-0.18061070897673082,51.41963638183591,-0.04308173338521144,Finchley Road,Lewisham,"Wellington Road, St. John's Wood","(51.5343659, -0.17422870000000001)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",46,23.41291108404385
30,51.55972799192102,-0.12947628867774053,51.512127764764806,-0.07052201247284863,Tufnell Park,Tower Gateway,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Braham Street, Aldgate","(51.5140008, -0.0729305)",22,24.228699551569505
31,51.56686983489686,-0.1588507547046496,51.54775702309152,-0.1591119391399266,Highgate,Belsize Park,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Gloucester Avenue, Camden Town","(51.5400495, -0.15052279999999998)",13,19.86429018136335
32,51.47695670281255,-0.17724148939711012,51.59274812322305,-0.16232513843875504,Fulham Broadway,East Finchley,"Battersea Church Road, Battersea","(51.47748970000001, -0.1738658)","Allington street, Westminster","(51.5806125, -0.2282815)",31,16.153225806451612
33,51.4410481747944,-0.11729555719786314,51.56293295099201,-0.0873966165062207,Brixton,Manor House,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",26,49.184210526315795
34,51.42609117589591,-0.13421565878927094,51.502895244951404,-0.19398003019095483,Tooting Bec,High Street Kensington,"Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)","Argyll Road, Kensington","(51.50141970000001, -0.1964776)",24,13.988126649076518
35,51.48542287081081,-0.17569178084066459,51.46307408305962,-0.11469693230140489,South Kensington,Brixton,"The Vale, Chelsea","(51.485969299999994, -0.1758507)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",13,31.21840490797546
36,51.52642476829576,-0.20577636227657753,51.481364106928034,-0.1075238847344736,Westbourne Park,Oval,"Bevington Road West, North Kensington","(51.5208259, -0.2076607)","Cranmer Road, Stockwell","(51.4795244, -0.1102848)",23,34.74590163934427
37,51.51246395851205,-0.07265019053771506,51.55170473303238,-0.14869092827474717,Tower Gateway,Kentish Town,"Braham Street, Aldgate","(51.5140008, -0.0729305)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",20,28.05145631067961
38,51.56711128764365,-0.13915780858519583,51.48186321046846,-0.21195062027954478,Archway,Barons Court,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Aintree Street, Fulham","(51.4805904, -0.2109884)",26,42.21212121212121
39,51.451379968279234,-0.03600040136587694,51.493149859543934,-0.03997775923158865,Lewisham,Surrey Quays,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Alpha Grove, Millwall","(51.49857739999999, -0.0229211)",25,14.963829787234042
40,51.594138309464746,-0.14591521346623723,51.60333673798547,-0.1451843220012367,East Finchley,Bounds Green,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Allington street, Westminster","(51.5806125, -0.2282815)",31,48.88888888888889
41,51.60583473525309,-0.1391616513557798,51.52473943225089,-0.09992060285650316,Bounds Green,Barbican,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Berry Street, Clerkenwell","(51.523451200000004, -0.1003311)",20,17.201856148491878
42,51.55965096016247,-0.09571131209469715,51.554720423724284,-0.09765610910411633,Arsenal,Arsenal,"Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",0,9.738560588641066
43,51.50714131799417,-0.1630785293545819,51.41707171626902,-0.21312613810038966,Knightsbridge,Wimbledon,"Triangle Car Park, Hyde Park","(51.50613999999999, -0.16961199999999999)","Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)",24,16.823011077542798
44,51.473182055159256,-0.18849435886942673,51.51056795194365,-0.13659112610843696,Parsons Green,Picadilly Circus,"Sandilands Road, Walham Green","(51.4736922, -0.1914323)","Golden Square, Soho","(51.5114489, -0.1369329)",15,22.32943676939426
45,51.44892322101599,-0.18352397382773233,51.47873062122236,-0.039049784173793,Southfields,New Cross Gate,"Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",39,72.0
46,51.54468815960622,-0.09061014851482464,51.42578881892948,-0.15755108757016822,Highbury & Islington,Tooting Broadway,"Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",30,45.92647058823529
47,51.53437782976148,-0.10567270317452095,51.46126056987773,-0.10910599058507414,Angel,Brixton,"Liverpool Road (N1 Centre), Angel","(51.53453409999999, -0.1069882)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",20,11.96502808988764
