,oRandomLat,oRandomLong,dRandomLat,dRandomLong,oTrain,dTrain,oBike,oBikeCoords,dBike,dBikeCoords,bikeMins,trainMins
0,51.58772252554724,-0.20481545219394645,51.452551344535806,-0.1600029596626816,Brent Cross,Clapham South,"Allington street, Westminster","(51.5806125, -0.2282815)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",35,13.5625
1,51.56530135167668,-0.17440780947943094,51.53104568780948,-0.1534473618253298,Hampstead,Baker Street,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Prince Albert Road, The Regent's Park","(51.531270500000005, -0.1569694)",15,14.998324958123954
2,51.56680704620408,-0.134396990574461,51.557712948924106,-0.020169943518792158,Archway,Leyton,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Lee Valley VeloPark, Queen Elizabeth Olympic Park","(51.550659, -0.015266)",30,40.0
3,51.42023922504031,-0.04793875173198793,51.49872000144825,-0.05707550805314281,Lewisham,Rotherhithe,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Wapping High Street, Wapping","(51.5034591, -0.0616763)",24,30.34375
4,51.596525108072434,-0.16995288840970635,51.58079963837892,-0.2014227098318096,East Finchley,Brent Cross,"Allington street, Westminster","(51.5806125, -0.2282815)","Allington street, Westminster","(51.5806125, -0.2282815)",24,30.25
5,51.60473675048832,-0.1238707902359262,51.41666136025393,-0.17804183479890334,Bounds Green,Colliers Wood,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Spencer Park, Wandsworth Common","(51.45316469999999, -0.169008)",43,17.74608695652174
6,51.43238102429911,-0.07279551957256795,51.491804452321524,-0.17891643059039886,Brixton,Gloucester Road,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Sumner Place, South Kensington","(51.492290600000004, -0.17484059999999998)",14,20.584615384615386
7,51.43130497860026,-0.12347284018404993,51.59930972578424,-0.05773687505066129,Balham,Tottenham Hale,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",36,33.578947368421055
8,51.59155996529106,-0.20474855518838508,51.600889906633114,-0.14013534361045935,Finchley Central,Bounds Green,"Allington street, Westminster","(51.5806125, -0.2282815)","Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)",35,13.18
10,51.44991167457043,-0.09331169695091467,51.57413374073983,-0.10794683751610418,Brixton,Manor House,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Cloudesley Road, Angel","(51.5366251, -0.1097333)",26,20.047819971870602
11,51.463447156814055,-0.04156995815962629,51.510692537132655,-0.040007522467696996,New Cross Gate,Limehouse,"Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)","Flamborough Street, Limehouse","(51.5136761, -0.0389979)",11,14.2
12,51.53702796887952,-0.06429638732594768,51.54822853659639,-0.16014518232385289,Bethnal Green,Belsize Park,"Regent's Row , Haggerston ","(51.535754499999996, -0.06563739999999998)","Gloucester Avenue, Camden Town","(51.5400495, -0.15052279999999998)",20,26.782608695652176
13,51.5911893406516,-0.202565658346071,51.44099886091715,-0.07785275752646047,Finchley Central,Brixton,"Allington street, Westminster","(51.5806125, -0.2282815)","Saltoun Road, Brixton","(51.460580900000004, -0.1132589)",34,14.444444444444445
14,51.42476656379192,-0.19804821989376462,51.55305899262844,-0.05613484670592263,Wimbledon,Bethnal Green,"Neville Gill Close, Wandsworth","(51.4543639, -0.1948588)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",40,54.0
15,51.51020377416184,-0.1745059121839934,51.47457403368846,-0.1952934809266473,Lancaster Gate,Parsons Green,"Lancaster Gate , Bayswater","(51.5115786, -0.18024820000000003)","Irene Road, Parsons Green","(51.474494, -0.1975043)",14,15.071143460906315
16,51.42808890082863,-0.11040157820588915,51.56302523125595,-0.0999264761896231,Balham,Finsbury Park,"Saltoun Road, Brixton","(51.460580900000004, -0.1132589)","Hertford Road, De Beauvoir Town","(51.54058800000001, -0.0782867)",29,49.184210526315795
17,51.546964384892064,-0.022061734423010473,51.59171495032071,-0.09849957025049717,Stratford,Turnpike Lane,"Here East North, Queen Elizabeth Olympic Park","(51.5474732, -0.0239604)","Victoria Park Road, Hackney Central","(51.547124200000006, -0.05682049999999999)",28,16.196125907990314
18,51.581068959677566,-0.14368716505604306,51.45762384724215,-0.04574589928096355,Highgate,New Cross Gate,"Castlehaven Road, Camden Town","(51.544129600000005, -0.14408479999999999)","Napier Avenue, Millwall","(51.4884314, -0.020638099999999996)",34,40.0
19,51.53278485626825,-0.05350779733909332,51.53556675100598,-0.19168599246877865,Bethnal Green,Kilburn Park,"York Hall, Bethnal Green","(51.5301403, -0.0551682)","Grove End Road, St. John's Wood","(51.5309851, -0.176681)",28,43.90909090909091
