,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,603,217,1560,3.17,£9-12
2,132,351,600,1.45,£5-7
3,40,107,540,1.17,£5-6
4,372,31,1020,2.6,£7-10
5,154,177,660,2.01,£6-8
6,309,229,240,0.3,£5-6
7,782,37,300,0.98,£5-6
8,112,374,900,2.02,£6-9
9,152,594,1020,2.68,£7-10
10,694,684,420,1.24,£5-6
11,246,116,1320,2.21,£7-10
12,553,789,900,2.98,£7-10
13,653,350,900,2.84,£7-10
14,335,14,960,2.38,£7-9
15,469,401,1080,3.56,£8-12
16,67,54,420,1.03,£5-6
17,239,45,720,1.94,£6-8
18,360,100,420,1.3,£5-6
19,506,809,960,2.49,£7-10
20,3,315,1440,3.93,£10-13
21,401,41,420,0.89,£5-6
22,187,665,960,3.0,£11-14
23,702,574,720,1.72,£6-8
24,536,23,1140,2.67,£8-10
25,136,111,1320,3.66,£9-13
26,185,638,900,2.64,£7-10
27,148,756,720,2.37,£6-9
28,695,204,420,1.0,£5-6
29,214,13,480,0.76,£5-6
30,14,174,840,2.11,£6-9
31,737,769,300,0.53,£5-6
32,701,653,240,0.6,£5-6
33,58,569,420,1.02,£5-6
34,457,462,240,0.51,£5-6
35,792,152,600,1.32,£5-7
36,340,411,960,1.77,£6-8
37,350,307,360,1.06,£6-7
38,541,581,720,1.36,£5-7
39,692,202,1500,3.47,£9-13
40,632,325,1440,4.34,£10-14
41,564,199,840,1.6,£6-8
42,353,480,1860,5.59,£15-20
43,5,109,1200,2.45,£7-10
44,405,157,300,0.89,£7-9
45,248,172,660,1.36,£5-7
46,531,1,1380,3.66,£9-13
47,72,699,900,2.54,£7-9
48,42,336,1020,2.91,£9-12
49,432,389,720,2.01,£8-10
50,319,55,420,1.04,£5-6
51,227,372,660,1.33,£5-7
52,75,54,480,0.98,£5-6
53,261,307,240,0.51,£5-6
54,217,54,420,1.07,£5-6
55,689,711,780,2.92,£7-10
56,748,553,420,1.35,£5-6
57,386,340,1020,2.45,£7-10
58,187,660,480,1.43,£7-9
59,213,309,780,2.2,£6-9
60,206,135,900,2.44,£7-9
61,270,579,1140,3.08,£8-11
62,607,709,300,0.5,£5-6
63,46,130,420,0.53,£5-6
64,301,88,600,1.06,£5-6
65,194,803,300,0.29,£5-6
66,393,798,720,1.42,£5-7
67,513,485,600,1.43,£5-7
68,28,14,540,1.16,£5-6
69,620,5,540,1.75,£5-7
70,758,53,1260,3.9,£9-13
71,32,89,960,2.19,£7-9
72,39,489,660,1.31,£5-7
73,694,746,840,2.52,£7-9
74,266,782,600,1.9,£8-11
75,486,30,720,1.4,£5-7
76,66,306,900,1.81,£6-8
77,591,168,720,1.84,£6-8
78,99,233,900,1.95,£6-9
79,197,61,600,1.5,£5-7
80,74,426,300,0.78,£5-6
81,11,84,540,1.52,£5-7
82,703,173,540,1.39,£5-7
83,773,66,360,0.71,£5-6
84,833,334,1320,3.83,£9-13
85,755,187,240,0.62,£7-9
86,80,383,1260,2.14,£7-10
87,522,213,2100,6.73,£14-19
88,354,587,900,1.96,£6-9
89,541,368,360,1.06,£5-6
90,360,268,300,0.69,£5-6
91,244,98,480,0.83,£5-6
92,2,307,480,1.26,£5-6
93,17,792,600,1.27,£5-7
94,524,364,1200,2.47,£8-10
95,564,443,1380,2.92,£8-11
96,626,378,600,1.53,£5-7
97,465,123,540,1.56,£5-7
98,32,749,600,1.65,£5-7
99,404,368,480,1.18,£6-8
100,291,146,360,0.55,£5-6
101,608,571,600,1.65,£5-7
102,758,457,1260,3.93,£9-13
103,707,655,300,0.95,£5-6
104,71,544,420,1.07,£5-6
105,387,354,600,1.28,£5-7
106,543,151,240,0.36,£5-6
107,347,125,420,1.1,£5-6
108,463,553,300,0.59,£5-6
109,215,119,300,0.54,£5-6
110,67,810,780,1.7,£6-8
111,202,531,840,2.15,£6-9
112,780,108,1140,3.27,£8-11
113,341,209,780,2.31,£6-9
114,157,631,1380,3.98,£13-17
115,29,529,780,2.42,£6-9
116,709,688,240,0.77,£5-6
117,280,294,480,1.41,£6-8
118,399,251,540,0.72,£5-6
119,195,9,360,0.82,£5-6
120,372,383,720,1.02,£5-7
121,36,421,1440,4.58,£14-18
122,93,122,1020,2.22,£7-9
123,604,365,720,2.18,£6-8
124,58,501,540,1.36,£5-7
125,68,361,840,2.19,£6-9
126,436,318,1020,1.67,£6-8
127,19,34,600,1.18,£5-6
128,733,649,960,2.61,£7-10
129,769,639,480,1.36,£5-7
130,30,174,900,2.17,£8-11
131,711,626,180,0.54,£5-6
132,737,220,720,1.88,£6-8
133,486,718,420,1.15,£5-6
134,360,583,300,0.75,£5-6
135,497,228,2340,5.93,£14-19
136,361,55,1140,2.93,£8-11
137,37,680,780,2.38,£8-11
138,739,103,780,2.16,£6-9
139,105,307,300,0.72,£5-6
140,298,732,420,1.02,£5-6
141,685,735,540,1.78,£5-7
142,262,31,1380,2.89,£8-11
143,768,610,780,2.17,£6-9
144,564,115,1080,2.28,£7-10
145,485,326,960,2.77,£7-10
146,225,373,480,1.4,£5-7
147,330,289,780,1.9,£6-8
148,11,602,1680,4.96,£11-15
149,503,32,720,1.88,£6-8
150,217,199,420,0.75,£5-6
151,135,132,780,2.01,£6-8
152,22,66,360,0.57,£5-6
153,221,290,1140,3.28,£10-14
154,264,319,420,1.08,£5-6
155,216,428,300,0.92,£7-9
156,298,762,1440,3.8,£10-13
157,270,340,1380,3.37,£9-12
158,92,427,720,1.56,£5-8
159,162,541,720,1.69,£6-8
160,769,731,240,0.46,£5-6
161,712,492,360,0.86,£5-6
162,701,133,1080,3.25,£8-11
163,108,620,960,2.75,£7-10
164,573,405,300,0.76,£6-7
165,208,105,540,1.6,£5-7
166,330,98,840,2.06,£6-9
167,98,116,600,1.21,£5-7
168,480,503,360,0.92,£5-6
169,173,579,960,1.97,£6-9
170,101,78,540,1.19,£5-6
171,762,53,780,1.54,£6-8
172,306,194,1380,3.37,£9-12
173,214,462,660,1.63,£5-7
174,319,52,240,0.57,£5-6
175,354,243,780,1.72,£6-8
176,239,29,1140,3.17,£8-11
177,132,253,480,1.19,£5-6
178,341,19,900,1.87,£6-8
179,641,654,480,1.57,£5-7
180,392,191,420,1.41,£7-9
181,803,214,1200,2.66,£8-11
182,340,140,360,0.68,£5-6
183,818,101,840,1.48,£6-8
184,321,194,300,0.87,£5-6
185,341,104,1200,2.57,£8-10
186,609,618,960,2.55,£7-10
187,360,220,600,1.49,£5-7
188,66,365,540,1.2,£5-6
189,248,186,480,1.3,£5-6
190,300,138,420,1.38,£5-6
191,457,544,1020,2.91,£8-10
192,270,117,240,0.79,£5-6
193,557,531,1200,3.22,£8-11
194,801,154,480,1.07,£5-6
195,712,552,480,1.43,£5-7
