,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,182,402,180,0.34
1,253,3,840,1.36
2,626,607,660,1.63
3,509,119,360,0.63
4,604,34,180,0.57
5,655,765,480,1.52
6,341,294,840,1.96
7,28,13,300,0.52
8,81,55,1560,3.34
9,37,639,300,0.87
10,703,154,1020,2.22
11,159,107,1500,2.9
12,462,357,720,1.93
13,758,265,720,1.77
14,532,526,480,1.36
15,445,712,720,1.65
16,250,167,480,0.91
17,674,546,840,2.01
18,552,46,540,0.82
19,382,386,1020,1.22
20,483,401,840,2.28
21,716,202,1140,2.96
22,732,487,1320,3.68
23,41,374,1500,3.38
24,189,232,720,1.8
25,214,18,780,1.32
26,199,354,900,2.23
27,378,260,1260,3.0
28,524,559,600,1.7
29,631,747,540,1.66
30,751,340,900,2.15
31,340,203,600,1.07
32,130,448,780,2.63
33,425,357,540,1.25
34,109,420,1140,2.66
35,594,449,1200,3.24
36,101,388,780,1.7
37,426,320,300,0.79
38,282,24,1620,4.46
39,686,745,960,2.8
40,626,573,480,1.36
41,364,64,840,1.34
42,116,159,240,0.22
43,773,426,960,2.48
44,105,408,660,1.61
45,345,596,720,1.81
46,264,101,780,1.76
47,315,239,480,1.2
48,228,1,1380,2.17
49,574,489,1140,2.44
50,214,215,1140,2.72
51,231,155,300,0.76
52,234,122,1080,2.37
53,362,431,720,1.59
54,784,783,480,1.36
55,15,138,1200,2.8
56,770,44,1800,3.9
57,626,37,480,1.07
58,303,410,720,2.0
59,130,452,420,0.72
60,176,573,1080,2.9
61,186,337,660,1.85
62,150,177,720,1.66
63,686,404,1080,2.88
64,107,253,480,1.13
65,798,541,1500,3.14
66,461,335,1560,4.89
67,718,457,1980,5.02
68,524,589,840,2.38
69,691,290,1560,4.38
70,68,24,420,1.09
71,31,787,1320,4.19
72,95,112,360,0.73
73,681,607,300,0.47
74,427,3,600,0.8
75,467,499,360,0.89
76,136,154,960,1.81
77,564,252,660,1.33
