,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,731,6,1860,4.99
1,733,192,900,1.22
2,23,122,1200,2.59
3,230,194,300,0.51
4,116,7,900,2.5
5,590,7,180,0.18
6,211,376,900,2.41
7,242,568,840,1.83
8,611,579,2400,6.3
9,719,278,1800,5.05
10,451,217,720,1.42
11,273,509,1200,2.81
12,121,73,2040,3.83
13,286,116,1200,2.76
14,469,510,360,0.7
15,396,69,720,1.58
16,423,640,780,1.86
17,543,622,180,0.38
18,428,356,240,0.38
19,732,32,1260,1.77
20,584,194,2400,6.28
21,703,421,960,2.01
22,182,402,180,0.34
23,253,3,840,1.36
24,626,607,660,1.63
25,509,119,360,0.63
26,604,34,180,0.57
27,655,765,480,1.52
28,341,294,840,1.96
29,28,13,300,0.52
30,81,55,1560,3.34
31,37,639,300,0.87
32,703,154,1020,2.22
33,159,107,1500,2.9
34,462,357,720,1.93
35,758,265,720,1.77
36,532,526,480,1.36
37,445,712,720,1.65
38,250,167,480,0.91
39,674,546,840,2.01
40,552,46,540,0.82
41,382,386,1020,1.22
42,483,401,840,2.28
43,716,202,1140,2.96
44,732,487,1320,3.68
45,41,374,1500,3.38
46,189,232,720,1.8
47,214,18,780,1.32
48,199,354,900,2.23
49,378,260,1260,3
50,524,559,600,1.7
51,631,747,540,1.66
52,751,340,900,2.15
53,340,203,600,1.07
54,130,448,780,2.63
55,425,357,540,1.25
56,109,420,1140,2.66
57,594,449,1200,3.24
58,101,388,780,1.7
59,426,320,300,0.79
60,282,24,1620,4.46
61,686,745,960,2.8
62,626,573,480,1.36
63,364,64,840,1.34
64,116,159,240,0.22
65,773,426,960,2.48
66,105,408,660,1.61
67,345,596,720,1.81
68,264,101,780,1.76
69,315,239,480,1.2
70,228,1,1380,2.17
71,574,489,1140,2.44
72,214,215,1140,2.72
73,231,155,300,0.76
74,234,122,1080,2.37
75,362,431,720,1.59
76,784,783,480,1.36
77,15,138,1200,2.8
78,770,44,1800,3.9
79,626,37,480,1.07
80,303,410,720,2
81,130,452,420,0.72
82,176,573,1080,2.9
83,186,337,660,1.85
84,150,177,720,1.66
85,686,404,1080,2.88
86,107,253,480,1.13
87,798,541,1500,3.14
88,461,335,1560,4.89
89,718,457,1980,5.02
90,524,589,840,2.38
91,691,290,1560,4.38
92,68,24,420,1.09
93,31,787,1320,4.19
94,95,112,360,0.73
95,681,607,300,0.47
96,427,3,600,0.8
97,467,499,360,0.89
98,136,154,960,1.81
99,564,252,660,1.33
100,195,278,780,1.51
101,625,640,300,0.52
102,818,443,780,1.65
103,126,119,360,0.93
104,254,217,1080,2.38
105,21,572,300,0.69
106,428,133,480,0.9
107,500,282,240,0.18
108,579,420,660,1.18
109,271,462,480,1.13
110,700,671,720,2.34
111,55,125,780,1.52
112,242,381,540,0.97
113,423,649,720,1.47
114,167,279,900,2.83
115,564,401,1500,3.57
116,640,163,720,2.22
117,762,217,1620,3.82
118,25,801,1380,3.09
119,119,569,300,0.72
120,213,300,540,1.62
121,364,77,360,0.9
122,229,74,720,2.22
123,729,782,240,0.75
124,290,400,480,1.25
125,804,545,480,1.2
126,217,48,420,0.99
127,516,470,540,2.34
128,173,295,540,1.2
129,658,345,360,0.88
130,119,237,840,1.81
131,213,226,420,1.47
132,747,356,360,0.96
133,229,132,1500,3.45
134,102,228,1080,3.1
135,124,192,840,1.87
136,796,703,540,1.44
137,233,284,600,1.33
138,251,104,480,0.96
