,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
0,735,773,2520,6.04,£15-20
1,722,748,660,1.96,£6-8
2,117,17,1620,3.1,£9-12
3,55,197,900,1.9,£6-8
4,191,300,420,1.2,£5-6
5,774,610,1020,2.05,£7-9
6,116,226,720,0.74,£5-6
7,226,558,720,1.44,£5-7
8,809,534,1320,3.41,£9-12
9,75,786,2040,5.84,£13-18
10,27,341,900,1.18,£5-7
11,500,719,660,2.17,£6-8
12,620,186,1380,4.61,£10-14
13,568,165,240,0.32,£5-6
14,717,695,540,1.69,£5-7
15,546,347,900,2.29,£7-9
16,374,190,780,1.84,£6-8
17,393,87,1140,1.6,£6-9
18,498,32,1080,3.06,£8-11
19,478,564,1500,3.88,£10-13
20,248,356,600,0.96,£5-6
21,333,103,360,0.43,£5-6
22,762,383,1080,1.34,£6-8
23,517,531,180,0.46,£5-6
24,218,638,780,2.29,£6-9
25,540,19,480,0.86,£5-6
27,479,116,2820,4.3,£13-18
28,214,65,240,0.23,£5-6
29,248,527,900,2.51,£7-9
30,215,107,360,0.84,£5-6
31,124,541,540,1.36,£5-7
32,547,551,240,0.74,£5-6
33,602,764,600,1.78,£5-8
34,737,143,840,2.22,£6-9
35,411,331,2040,3.35,£10-14
36,663,535,1140,4.12,£9-13
37,93,101,1500,2.2,£8-11
38,584,150,720,2.2,£6-8
39,361,251,1860,3.39,£10-14
40,215,71,420,0.7,£5-6
41,737,618,240,0.34,£5-6
42,729,671,240,0.44,£5-6
43,126,101,360,0.63,£5-6
44,124,732,1920,3.81,£11-14
45,460,492,300,0.7,£5-6
46,535,457,360,0.62,£5-6
47,737,615,540,1.4,£5-7
48,87,132,540,1.09,£5-6
49,638,688,780,2.33,£6-9
50,762,354,720,0.79,£5-6
51,146,651,840,2.59,£7-9
52,793,513,2220,3.77,£11-15
53,720,2,840,2.05,£6-9
54,190,193,1140,2.49,£7-10
55,731,781,900,2.26,£7-9
56,70,319,900,1.47,£6-8
57,726,177,720,2.26,£6-9
58,699,254,900,2.85,£7-10
59,794,308,1140,3.06,£8-11
60,197,82,1020,1.61,£6-9
61,202,236,420,0.91,£5-6
62,335,135,960,2.0,£6-9
63,780,267,960,2.89,£7-10
64,77,159,1020,1.62,£6-8
65,666,293,240,0.23,£5-6
66,80,820,600,1.31,£5-7
67,534,480,900,2.42,£7-9
68,256,27,420,0.43,£5-6
69,180,396,420,0.76,£5-6
70,392,128,240,0.55,£5-6
71,199,27,840,1.29,£5-8
72,310,270,240,0.65,£5-6
73,507,32,660,1.43,£5-7
74,295,321,360,0.89,£5-6
75,573,373,480,1.44,£5-7
76,254,228,1920,3.0,£10-13
77,39,78,720,1.12,£5-7
78,652,736,240,0.51,£5-6
79,639,430,780,1.64,£6-8
80,138,191,300,0.79,£5-6
81,220,53,1080,2.19,£7-10
82,588,71,900,1.66,£6-8
83,574,64,1680,3.81,£10-14
84,362,34,300,0.76,£5-6
85,358,102,1560,2.81,£9-12
86,443,570,660,2.48,£6-9
87,12,593,720,1.26,£5-7
88,38,681,840,2.6,£7-10
89,524,248,600,0.92,£5-6
90,515,667,300,0.81,£5-6
91,111,733,240,0.55,£5-6
92,395,356,360,0.84,£5-6
93,478,458,720,1.92,£6-8
94,14,141,1200,1.97,£7-10
95,729,737,360,0.94,£5-6
96,615,671,300,0.9,£5-6
97,288,191,360,1.17,£5-6
98,613,634,300,0.83,£5-6
99,17,71,540,1.24,£5-6
