,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.88, 'display_amount': '1.41-1.88', 'display_name': 'Distance', 'low_amount': 1.41}, {'high_amount': 2.38, 'display_amount': '1.78-2.38', 'display_name': 'Time', 'low_amount': 1.78}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 1.25}",8
1,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.78, 'display_amount': '2.09-2.78', 'display_name': 'Distance', 'low_amount': 2.09}, {'high_amount': 2.13, 'display_amount': '1.6-2.13', 'display_name': 'Time', 'low_amount': 1.6}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 1.85}",15
2,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/b2474cf5-f953-4652-a18e-974c32cdd534', 'high_estimate': 8, 'expires_at': 1542184040, 'surge_confirmation_id': 'b2474cf5-f953-4652-a18e-974c32cdd534', 'minimum': 6, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.33, 'display_amount': '0.99-1.33', 'display_name': 'Distance', 'low_amount': 0.99}, {'high_amount': 0.13, 'display_amount': '0.73-0.13', 'display_name': '£5.00 Minimum', 'low_amount': 0.73}, {'high_amount': 1.0, 'display_amount': '1', 'display_name': 'Surge x1.2', 'low_amount': 1.0}, {'high_amount': 1.04, 'display_amount': '0.78-1.04', 'display_name': 'Time', 'low_amount': 0.78}], 'surge_multiplier': 1.2, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.88}",16
3,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/cfee3e2c-1f8a-4879-966c-d0d9181dacec', 'high_estimate': 11, 'expires_at': 1542184041, 'surge_confirmation_id': 'cfee3e2c-1f8a-4879-966c-d0d9181dacec', 'minimum': 7, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.18, 'display_amount': '2.39-3.18', 'display_name': 'Distance', 'low_amount': 2.39}, {'high_amount': 2.52, 'display_amount': '2.08-2.52', 'display_name': 'Surge x1.3', 'low_amount': 2.08}, {'high_amount': 2.71, 'display_amount': '2.04-2.71', 'display_name': 'Time', 'low_amount': 2.04}], 'surge_multiplier': 1.3, 'display': '£9-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.12}",11
4,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.43, 'display_amount': '1.08-1.43', 'display_name': 'Distance', 'low_amount': 1.08}, {'high_amount': 0.01, 'display_amount': '0.62-0.01', 'display_name': '£5.00 Minimum', 'low_amount': 0.62}, {'high_amount': 1.06, 'display_amount': '0.8-1.06', 'display_name': 'Time', 'low_amount': 0.8}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.95}",21
5,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/10322e98-8d87-4ca6-9b57-da7356417f30', 'high_estimate': 11, 'expires_at': 1542184043, 'surge_confirmation_id': '10322e98-8d87-4ca6-9b57-da7356417f30', 'minimum': 7, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.06, 'display_amount': '2.3-3.06', 'display_name': 'Distance', 'low_amount': 2.3}, {'high_amount': 3.11, 'display_amount': '2.58-3.11', 'display_name': 'Surge x1.4', 'low_amount': 2.58}, {'high_amount': 2.21, 'display_amount': '1.66-2.21', 'display_name': 'Time', 'low_amount': 1.66}], 'surge_multiplier': 1.4, 'display': '£9-11', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 2.04}",14
6,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.13, 'display_amount': '1.59-2.13', 'display_name': 'Distance', 'low_amount': 1.59}, {'high_amount': 1.54, 'display_amount': '1.16-1.54', 'display_name': 'Time', 'low_amount': 1.16}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.41}",24
7,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.68, 'display_amount': '2.76-3.68', 'display_name': 'Distance', 'low_amount': 2.76}, {'high_amount': 2.99, 'display_amount': '2.24-2.99', 'display_name': 'Time', 'low_amount': 2.24}], 'surge_multiplier': 1.0, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1020, 'distance_estimate': 2.45}",15
8,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.44, 'display_amount': '3.33-4.44', 'display_name': 'Distance', 'low_amount': 3.33}, {'high_amount': 2.51, 'display_amount': '1.88-2.51', 'display_name': 'Time', 'low_amount': 1.88}], 'surge_multiplier': 1.0, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 2.96}",7
9,"{'surge_confirmation_href': None, 'high_estimate': 10, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.09, 'display_amount': '2.31-3.09', 'display_name': 'Distance', 'low_amount': 2.31}, {'high_amount': 3.98, 'display_amount': '2.99-3.98', 'display_name': 'Time', 'low_amount': 2.99}], 'surge_multiplier': 1.0, 'display': '£7-10', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1320, 'distance_estimate': 2.06}",11
