,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.31, 'display_amount': '0.99-1.31', 'display_name': 'Distance', 'low_amount': 0.99}, {'high_amount': 0.2, 'display_amount': '0.77-0.2', 'display_name': '£5.00 Minimum', 'low_amount': 0.77}, {'high_amount': 0.99, 'display_amount': '0.74-0.99', 'display_name': 'Time', 'low_amount': 0.74}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.87}",6
1,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.45, 'display_amount': '1.84-2.45', 'display_name': 'Distance', 'low_amount': 1.84}, {'high_amount': 1.63, 'display_amount': '1.22-1.63', 'display_name': 'Time', 'low_amount': 1.22}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.63}",8
2,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.35, 'display_amount': '2.51-3.35', 'display_name': 'Distance', 'low_amount': 2.51}, {'high_amount': 2.67, 'display_amount': '2-2.67', 'display_name': 'Time', 'low_amount': 2.0}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.23}",11
3,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.29, 'display_amount': '1.71-2.29', 'display_name': 'Distance', 'low_amount': 1.71}, {'high_amount': 1.38, 'display_amount': '1.04-1.38', 'display_name': 'Time', 'low_amount': 1.04}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.53}",8
4,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.46, 'display_amount': '2.59-3.46', 'display_name': 'Distance', 'low_amount': 2.59}, {'high_amount': 2.17, 'display_amount': '1.63-2.17', 'display_name': 'Time', 'low_amount': 1.63}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 2.3}",5
5,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.18, 'display_amount': '1.63-2.18', 'display_name': 'Distance', 'low_amount': 1.63}, {'high_amount': 1.27, 'display_amount': '0.95-1.27', 'display_name': 'Time', 'low_amount': 0.95}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 1.45}",5
6,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.21, 'display_amount': '0.91-1.21', 'display_name': 'Distance', 'low_amount': 0.91}, {'high_amount': None, 'display_amount': '0.56', 'display_name': '£5.00 Minimum', 'low_amount': 0.56}, {'high_amount': 1.38, 'display_amount': '1.03-1.38', 'display_name': 'Time', 'low_amount': 1.03}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 0.81}",2
7,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.61, 'display_amount': '1.96-2.61', 'display_name': 'Distance', 'low_amount': 1.96}, {'high_amount': 1.38, 'display_amount': '1.03-1.38', 'display_name': 'Time', 'low_amount': 1.03}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.74}",5
8,"{'surge_confirmation_href': None, 'high_estimate': 13, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 6.43, 'display_amount': '4.83-6.43', 'display_name': 'Distance', 'low_amount': 4.83}, {'high_amount': 3.84, 'display_amount': '2.88-3.84', 'display_name': 'Time', 'low_amount': 2.88}], 'surge_multiplier': 1.0, 'display': '£10-13', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1260, 'distance_estimate': 4.29}",4
9,"{'surge_confirmation_href': None, 'high_estimate': 19, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 14, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 11.31, 'display_amount': '8.49-11.31', 'display_name': 'Distance', 'low_amount': 8.49}, {'high_amount': 4.75, 'display_amount': '3.56-4.75', 'display_name': 'Time', 'low_amount': 3.56}], 'surge_multiplier': 1.0, 'display': '£14-19', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1560, 'distance_estimate': 7.54}",5
