,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,167,270,720,1.43
1,222,266,660,1.69
2,99,312,780,1.5
3,87,104,480,0.73
4,797,737,2460,5.99
5,252,193,540,0.97
6,427,119,540,1.05
7,150,807,1140,3.54
8,456,114,720,2.13
9,77,162,540,1.16
10,27,64,720,1.44
11,132,32,420,0.51
12,50,251,540,1.18
13,37,163,720,1.72
14,307,404,300,0.83
15,397,177,1140,2.81
16,466,542,1140,3.07
17,233,5,900,2.25
18,268,558,540,1.16
19,354,568,1680,3.84
20,345,621,1140,3.02
21,170,372,660,1.31
22,545,663,1320,4.25
23,22,374,1020,2.44
24,52,365,300,0.61
25,114,713,720,2.01
26,520,132,540,1.47
27,597,97,900,2.56
28,290,354,1620,3.36
29,757,781,540,1.38
30,199,10,420,0.79
31,617,693,600,0.75
