,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,633,727,420,1.33,£5-6
2,111,307,660,1.49,£5-7
3,779,483,780,1.35,£5-7
4,628,710,600,2.09,£6-8
5,268,294,240,0.7,£5-6
6,116,356,1440,2.33,£8-11
7,282,95,1020,2.33,£7-10
8,350,584,480,1.13,£5-6
9,196,826,1560,2.15,£8-11
10,639,381,2160,5.26,£13-17
11,50,465,300,0.9,£5-6
12,511,811,600,1.93,£6-8
13,621,672,300,1.15,£5-6
14,348,181,720,1.18,£5-7
15,57,235,1500,2.73,£8-12
16,160,800,1020,2.36,£7-10
17,807,6,1320,3.67,£9-12
18,599,644,240,0.19,£5-6
19,27,71,480,0.97,£5-6
20,761,707,300,0.87,£5-6
21,217,354,900,2.44,£7-9
22,826,424,300,0.57,£5-6
23,729,671,240,0.44,£5-6
24,218,161,600,1.65,£5-7
25,185,213,720,1.52,£5-7
26,19,695,960,1.94,£6-9
27,1,553,1320,3.3,£9-12
28,730,596,960,2.6,£7-10
29,730,687,660,1.43,£5-7
30,647,279,900,4.04,£9-12
31,193,347,600,1.08,£5-6
32,96,340,660,1.53,£5-7
33,531,109,2460,6.13,£14-20
34,50,358,1020,2.17,£7-9
35,811,215,1200,3.57,£9-12
36,647,289,1440,5.35,£11-15
37,235,341,1080,2.67,£7-10
38,568,303,900,2.5,£7-9
39,216,395,600,1.3,£5-7
40,453,71,1080,3.17,£8-11
41,298,803,720,1.57,£5-8
42,270,144,300,0.58,£5-6
43,72,374,1320,2.57,£8-11
44,314,488,1020,2.02,£7-9
45,115,536,900,1.76,£6-8
46,158,392,540,1.52,£5-7
47,272,832,1080,3.51,£8-11
48,632,165,1680,4.51,£11-15
49,217,154,1200,2.67,£8-11
50,190,221,240,0.43,£5-6
51,581,300,1140,1.95,£7-9
52,324,92,240,0.25,£5-6
53,229,236,1680,3.16,£9-13
54,355,320,540,1.61,£5-7
55,174,280,1440,4.39,£10-14
56,680,250,660,1.19,£5-7
57,447,547,420,1.84,£5-7
58,365,748,540,1.7,£5-7
59,54,341,1500,2.78,£8-12
60,177,185,300,0.96,£5-6
61,48,541,1260,2.31,£8-10
62,495,539,1080,3.89,£9-12
63,263,282,960,1.71,£6-8
64,721,783,300,0.68,£5-6
65,312,428,1200,3.57,£9-12
66,18,33,1500,3.04,£9-12
67,495,788,600,2.1,£6-8
68,58,251,360,0.5,£5-6
69,623,735,360,0.81,£5-6
70,86,583,480,1.02,£5-6
71,730,601,780,2.37,£6-9
72,48,797,1080,2.15,£7-9
73,431,25,540,1.09,£5-6
74,46,645,780,2.18,£6-9
75,94,457,2220,5.04,£13-17
76,31,340,600,1.31,£5-7
77,124,174,1440,2.45,£8-11
78,583,19,1740,2.53,£9-12
79,495,511,900,2.46,£7-9
80,815,217,1500,2.83,£9-12
81,294,309,1200,2.25,£7-10
82,613,634,240,0.83,£5-6
83,492,518,420,0.69,£5-6
84,796,71,780,1.83,£6-8
85,96,95,540,1.37,£5-7
86,305,440,240,0.35,£5-6
87,798,227,360,0.54,£5-6
88,479,553,360,0.85,£5-6
89,430,800,540,1.83,£5-7
90,498,542,480,1.44,£5-7
91,3,495,1560,4.34,£10-14
92,762,229,660,0.78,£5-6
93,9,762,1140,2.17,£7-10
94,733,428,480,1.29,£5-6
95,240,321,600,1.48,£5-7
