,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,136,335,600,1.64,£6-9
2,386,357,720,0.84,£5-6
3,325,47,1680,3.83,£10-14
4,296,113,420,0.59,£5-6
5,25,17,840,1.71,£6-8
6,251,322,360,0.7,£6-7
7,428,216,360,0.92,£5-6
8,295,199,1200,1.6,£6-9
9,66,217,780,1.6,£6-8
10,409,9,660,1.19,£5-7
11,261,176,420,0.49,£5-6
12,180,141,480,1.05,£5-6
13,654,183,360,1.11,£5-6
14,193,194,240,0.37,£5-6
15,405,653,900,2.35,£7-9
16,78,16,660,1.69,£5-8
17,742,606,360,1.14,£5-6
18,782,157,720,1.64,£5-8
19,553,351,900,2.14,£6-9
20,376,360,300,0.89,£5-6
21,29,607,1680,4.18,£10-14
22,46,85,900,1.39,£6-8
23,820,813,720,2.11,£6-8
24,68,701,2100,5.57,£13-18
25,154,562,720,1.6,£5-8
26,21,572,300,0.69,£5-6
27,613,634,360,0.83,£5-6
28,203,17,360,0.7,£5-6
29,131,594,1140,1.57,£6-9
30,247,98,540,1.71,£5-7
31,640,345,660,2.11,£6-8
32,793,104,1320,2.84,£8-11
33,410,164,360,0.75,£5-6
34,327,328,0,0.02,£5-6
35,478,531,360,0.95,£5-6
36,350,306,1560,3.01,£9-12
37,602,219,1560,4.11,£10-14
38,111,161,720,1.87,£6-8
39,781,142,780,1.55,£5-8
40,440,382,1560,3.7,£10-13
41,358,101,1260,1.82,£7-10
42,58,569,360,1.02,£5-6
43,263,214,1440,2.95,£11-15
44,286,341,1920,3.62,£10-14
45,162,12,600,1.05,£5-6
46,177,228,900,1.67,£6-8
47,795,619,2400,6.8,£15-20
48,68,374,900,2.21,£7-9
49,695,264,300,0.82,£5-6
50,154,85,1200,2.64,£8-11
51,597,181,1620,3.36,£9-13
52,7,28,600,2.07,£6-8
53,452,195,840,2.06,£6-9
54,496,102,1560,3.57,£10-13
55,251,232,960,2.06,£9-12
56,101,264,780,1.7,£7-10
57,102,492,1500,2.62,£11-15
58,182,456,720,2.18,£6-8
59,465,135,540,1.79,$£5-7
60,531,553,420,1.34,£5-6
61,536,78,720,1.76,£6-8
62,320,376,420,0.92,£5-6
63,692,788,480,1.3,£5-6
64,352,295,720,1.94,£6-8
65,74,558,420,0.8,£5-6
66,32,420,1080,2.38,£7-10
67,436,22,360,0.44,£5-6
68,457,26,840,2.05,£6-9
69,157,595,660,1.3,£5-7
70,154,91,540,0.95,£5-6
71,820,625,1260,3.4,£9-12
72,194,193,240,0.37,£5-6
73,226,222,660,1.54,£5-7
74,762,624,1080,2.47,£7-10
75,562,361,780,2.13,£6-9
76,194,197,540,0.92,£5-6
77,57,107,540,1.28,£5-7
78,14,5,2280,3.84,£11-16
79,404,151,600,1.37,£5-7
80,157,757,480,1.11,£5-6
81,709,700,960,2.93,£7-10
82,552,792,1260,3.05,£8-11
83,57,14,480,0.81,£5-6
84,633,599,300,1.01,£5-6
85,534,695,960,2.37,£7-9
