,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
0,88,14,780,1.25,£5-7
1,46,278,720,1.85,£6-8
2,169,330,360,0.88,£6-8
3,166,815,900,2.12,£9-11
4,613,666,360,0.95,£5-6
5,360,99,720,2.04,£9-11
6,573,720,540,1.41,£5-7
7,721,698,1020,2.45,£7-10
8,538,785,840,2.96,£7-10
9,135,226,1320,2.06,£7-10
10,668,667,540,1.35,£5-7
11,164,666,840,3.7,£10-13
12,708,678,300,0.35,£5-6
13,253,46,1320,2.76,£10-13
14,478,513,360,0.82,£5-6
15,12,18,480,1.09,£5-6
16,404,191,360,1.37,£5-6
17,194,541,1680,3.15,£9-13
18,374,546,1200,1.77,£7-9
19,282,12,2280,4.85,£13-17
20,32,107,480,0.83,£5-6
21,506,33,540,0.6,£5-6
22,351,215,420,1.05,£5-6
23,703,173,540,1.39,£5-7
24,448,552,900,2.17,£6-9
25,14,135,540,1.47,£5-7
26,14,154,1560,3.08,£9-12
27,372,193,780,1.49,£5-8
28,36,303,300,1.2,£5-6
29,169,248,360,0.93,£6-8
30,345,683,600,1.81,£5-8
31,111,187,900,2.71,£10-14
32,388,12,1020,1.36,£6-8
33,7,759,300,0.91,£7-8
34,104,66,1260,2.22,£7-10
35,14,372,960,1.5,£6-8
36,350,107,2340,4.4,£12-17
37,587,305,1080,2.42,£7-10
38,486,565,300,0.58,£5-6
39,154,68,1200,1.93,£7-9
40,88,14,780,1.25,£5-7
41,319,104,1020,1.83,£6-9
42,85,421,840,1.72,£6-8
43,55,202,960,1.03,£5-7
44,436,503,1500,3.11,£9-12
45,405,584,540,1.46,£5-7
46,381,47,960,2.75,£7-10
47,239,109,1200,1.99,£7-10
48,789,785,240,0.22,£5-6
49,780,178,1080,2.46,£7-10
50,193,335,1020,1.35,£6-8
51,98,141,540,1.25,£5-7
52,755,216,240,0.49,£5-6
53,288,290,960,2.88,£9-12
54,717,531,840,2.17,£10-13
55,319,340,540,1.12,£5-6
56,239,110,960,2.36,£7-9
57,354,287,900,1.96,£6-9
58,71,509,480,0.76,£5-6
59,332,581,1620,4.13,£10-14
60,135,154,1260,2.63,£8-11
61,278,102,780,0.95,£5-7
62,151,671,1440,3.98,£10-13
63,133,2,240,0.37,£5-6
64,593,372,780,1.72,£6-8
65,616,157,840,2.13,£6-9
66,240,579,780,1.12,£5-7
67,174,272,420,1.01,£5-6
68,800,432,900,1.92,£6-9
69,150,289,600,1.4,£7-9
70,464,480,300,0.64,£5-6
71,736,2,660,1.62,£5-7
72,664,356,1080,2.11,£7-9
73,321,801,480,1.14,£5-6
74,513,273,1500,4.02,£10-13
75,735,773,2520,6.04,£15-20
76,722,748,660,1.96,£6-8
77,117,17,1620,3.1,£9-12
78,55,197,900,1.9,£6-8
79,191,300,420,1.2,£5-6
80,774,610,1020,2.05,£7-9
81,116,226,720,0.74,£5-6
82,226,558,720,1.44,£5-7
83,809,534,1320,3.41,£9-12
84,75,786,2040,5.84,£13-18
85,27,341,900,1.18,£5-7
86,500,719,660,2.17,£6-8
87,620,186,1380,4.61,£10-14
88,568,165,240,0.32,£5-6
89,717,695,540,1.69,£5-7
