,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,230,73,780,1.98,£6-8
2,775,727,600,2.43,£6-8
3,715,443,300,0.66,£5-6
4,78,173,720,2.06,£6-8
5,533,287,960,2.88,£7-10
6,561,85,1080,3.0,£8-11
7,566,168,540,2.09,£6-8
8,264,321,1080,3.16,£8-11
9,594,192,720,1.3,£5-7
10,318,133,1260,3.32,£9-12
11,579,92,540,1.53,£5-7
12,486,534,180,0.6,£5-6
13,15,795,420,1.19,£5-6
14,427,664,1320,4.76,£10-14
15,818,71,780,1.81,£6-8
16,361,194,540,1.6,£5-7
17,278,223,420,1.49,£5-7
18,214,18,480,1.16,£5-6
19,731,755,360,0.89,£5-6
20,618,432,660,2.01,£6-8
21,661,176,300,0.8,£5-6
22,10,221,780,2.36,£6-9
23,664,638,300,1.02,£5-6
24,769,728,480,2.36,£6-8
25,11,362,600,1.8,£5-8
26,318,154,1020,2.04,£7-9
27,668,774,660,2.89,£7-9
28,217,427,300,0.58,£5-6
29,633,686,240,0.73,£5-6
30,30,557,480,1.47,£5-7
31,459,783,240,0.84,£5-6
32,156,374,480,1.51,£5-7
33,743,633,600,2.75,£6-9
34,587,443,540,1.78,£5-7
35,66,433,360,0.81,£5-6
36,244,804,900,1.98,£6-9
37,748,553,420,1.33,£5-6
38,388,273,720,1.36,£5-7
39,341,404,720,2.93,£7-10
40,248,224,540,1.43,£5-7
41,695,444,900,3.16,£8-10
42,84,46,960,2.62,£7-10
43,501,433,1020,3.34,£8-11
44,350,404,240,0.23,£5-6
45,320,305,420,1.2,£5-6
46,501,323,600,1.83,£5-7
47,12,162,300,0.98,£5-6
48,89,23,360,1.07,£5-6
49,573,691,300,0.84,£5-6
50,376,68,960,2.4,£7-10
51,361,299,600,1.87,£5-8
52,264,335,600,1.42,£5-7
53,524,248,360,0.92,£5-6
54,58,536,480,1.12,£5-6
55,115,42,600,1.81,£5-7
56,212,613,420,1.38,£5-6
57,189,54,420,1.14,£5-6
58,217,233,960,2.68,£7-10
59,826,746,540,2.13,£6-8
60,167,2,720,2.64,£7-9
61,341,36,720,2.97,£7-10
62,388,368,780,2.3,£6-9
63,530,516,240,0.27,£5-6
64,202,126,480,1.57,£5-7
65,66,173,600,1.35,£5-7
66,57,287,240,0.44,£5-6
67,207,88,1020,2.53,£7-10
68,667,775,240,0.42,£5-6
69,48,795,900,2.52,£7-9
70,362,19,420,1.2,£5-6
71,12,16,360,0.67,£5-6
72,284,376,480,1.55,£5-7
73,142,733,660,2.8,£7-9
74,169,292,600,2.1,£6-8
75,255,47,240,0.24,£5-6
76,761,639,240,0.62,£5-6
77,655,392,660,2.55,£6-9
78,58,697,840,2.41,£7-9
79,514,6,360,0.64,£5-6
80,264,54,420,0.95,£5-6
81,217,351,540,1.64,£5-7
82,14,389,1140,2.53,£7-10
83,638,658,360,1.05,£5-6
84,508,603,1260,4.23,£10-13
85,366,148,600,2.14,£6-8
86,132,466,360,0.89,£5-6
87,343,394,420,1.73,£5-7
88,105,307,240,0.72,£5-6
89,622,663,300,0.84,£5-6
90,766,660,900,3.72,£8-11
91,235,130,840,2.41,£7-9
92,593,41,780,2.42,£6-9
93,29,113,480,1.39,£5-6
94,728,99,1500,6.27,£12-17
95,192,22,780,1.8,£6-8
96,626,356,600,2.11,£6-8
97,692,553,480,1.9,£5-7
98,707,761,300,0.85,£5-6
99,658,625,300,0.81,£5-6
100,326,587,720,2.09,£6-8
101,668,732,2100,8.52,£16-22
102,212,333,240,0.46,£5-6
103,392,128,240,0.55,£5-6
104,403,116,840,1.18,£5-7
105,386,104,1200,3.36,£9-12
106,732,217,480,0.96,£5-6
107,69,312,660,2.57,£6-9
108,532,526,360,1.2,£5-6
109,12,239,360,0.7,£5-6
110,733,528,360,0.58,£5-6
111,592,392,540,1.83,£5-7
112,156,658,1080,4.38,£9-13
113,230,295,360,0.83,£5-6
114,101,275,420,1.14,£5-6
115,132,495,900,3.34,£8-11
116,37,680,660,2.38,£6-9
117,579,93,720,2.12,£6-8
118,139,74,360,1.13,£5-6
119,339,31,480,1.48,£5-7
120,639,177,1020,3.71,£8-12
121,449,202,420,0.95,£5-6
122,746,780,240,0.5,£5-6
123,593,234,300,0.8,£5-6
124,684,632,660,2.49,£6-9
125,209,356,300,0.54,£5-6
126,326,136,660,1.81,£5-8
127,394,568,360,1.3,£5-6
128,374,372,540,1.54,£5-7
129,271,34,480,1.55,£5-7
130,77,433,240,0.44,£5-6
131,199,449,480,1.44,£5-7
132,421,546,480,1.18,£5-6
133,75,41,600,1.85,£5-7
134,746,564,1140,4.2,£9-13
135,305,440,240,0.57,£5-6
136,466,251,480,1.14,£5-6
137,645,270,540,1.99,£6-8
