,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,503,40,600,1.48
1,512,749,300,0.94
2,456,114,420,2.1
3,215,234,540,1.74
4,51,203,300,0.69
5,96,785,960,3.73
6,226,191,540,1.44
7,729,616,180,0.37
8,314,154,840,2.09
9,12,146,900,2.59
10,400,318,600,1.07
11,727,737,300,0.81
12,806,695,540,1.59
13,256,27,240,0.43
14,18,22,360,0.87
15,430,356,300,0.64
16,39,135,540,1.38
17,767,709,300,0.98
18,710,817,360,1.34
20,18,106,780,1.45
21,28,109,780,1.85
22,116,318,420,0.41
23,55,18,660,1.92
24,737,621,600,2.0
25,490,85,540,1.3
26,108,662,660,2.18
27,156,249,240,0.34
28,680,640,420,1.52
29,51,40,540,1.61
30,347,235,360,0.5
31,274,288,840,2.96
32,11,549,1020,2.74
33,109,361,780,2.08
34,95,3,360,0.85
35,374,15,660,1.91
37,573,524,720,2.54
38,462,804,360,1.08
39,240,295,360,0.9
40,239,306,300,0.62
41,576,532,300,0.83
42,209,671,660,2.4
44,107,427,480,1.08
45,372,341,480,0.87
46,399,73,540,1.32
47,390,459,600,2.38
48,109,206,1260,3.81
49,782,5,660,2.5
50,324,297,420,0.54
