,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
0,522,531,240,0.53,£5-6
1,646,361,960,1.92,£6-9
2,174,167,1440,2.86,£8-12
3,492,471,360,1.15,£5-6
4,639,150,900,2.41,£7-9
5,430,750,600,1.73,£5-7
6,312,646,1800,3.38,£10-13
7,4,306,780,1.5,£5-8
8,101,55,660,1.18,£5-7
9,568,378,720,2.02,£6-8
10,74,268,360,1.07,£5-6
11,14,295,1800,3.53,£10-14
12,200,445,420,0.87,£5-6
13,717,480,1140,3.18,£8-11
14,335,270,1080,2.28,£7-10
15,661,647,720,2.11,£6-8
16,249,810,420,0.79,£5-6
17,83,426,1020,1.83,£6-9
18,193,492,1740,4.8,£11-15
19,16,12,780,1.29,£5-7
20,573,664,540,1.65,£5-7
21,248,404,420,0.89,£5-6
22,692,459,240,0.75,£5-6
23,67,109,1560,1.87,£8-10
24,85,732,420,0.67,£5-6
25,350,307,480,1.06,£5-6
26,43,129,1020,1.66,£6-8
27,177,24,1500,3.34,£9-12
28,140,66,780,1.3,£5-7
29,174,1,900,1.84,£6-8
30,351,57,600,1.44,£5-7
31,368,110,1440,3.16,£9-12
32,427,265,2160,4.67,£12-16
33,57,12,780,1.41,£5-7
34,757,231,360,0.82,£5-6
35,735,675,240,0.69,£5-6
36,802,387,540,1.56,£5-7
37,251,565,420,1.02,£5-6
38,281,178,480,1.56,£5-7
39,514,647,1020,4.75,£10-13
40,138,303,600,1.0,£5-6
41,192,238,1320,3.0,£8-11
42,541,248,600,2.04,£6-8
43,230,579,660,1.03,£5-7
44,213,224,1140,2.57,£7-10
45,361,809,1200,1.48,£6-9
46,229,268,1200,1.82,£7-9
47,3,544,600,1.27,£5-7
48,14,125,1620,3.38,£9-13
49,553,463,300,0.59,£5-6
50,366,670,1560,3.91,£10-14
51,500,537,420,0.72,£5-6
52,251,58,360,0.52,£5-6
53,405,397,900,2.14,£6-9
54,503,470,540,1.61,£5-7
55,221,511,1860,4.92,£12-16
56,130,92,720,1.7,£6-8
57,51,260,1500,2.21,£8-11
58,257,815,2100,3.55,£11-15
59,521,785,480,1.82,£5-7
60,226,166,720,1.43,£5-7
61,105,643,300,0.9,£5-6
62,762,9,1200,2.62,£8-11
63,86,270,300,0.68,£5-6
64,503,444,360,0.46,£5-6
65,340,732,600,0.98,£5-6
67,209,292,300,0.59,£5-6
68,138,733,420,0.57,£5-6
69,279,427,2460,4.47,£13-17
70,331,223,1380,3.09,£9-12
71,626,681,300,1.26,£5-6
72,588,73,480,0.89,£5-6
73,757,312,1620,6.06,£12-17
74,657,373,900,2.43,£7-9
75,340,9,600,1.17,£5-7
76,779,123,1080,2.53,£7-10
77,420,625,1440,3.34,£9-12
78,298,27,1140,2.6,£7-10
79,428,161,780,2.42,£6-9
80,782,596,480,0.96,£5-6
81,641,190,480,1.23,£5-6
82,603,714,480,1.34,£5-6
83,54,336,900,2.26,£7-9
84,39,14,1080,2.66,£7-10
85,14,22,480,1.2,£5-6
86,800,616,1260,3.63,£9-12
87,100,340,1320,3.26,£9-12
88,517,520,360,1.17,£5-6
89,769,780,300,0.78,£5-6
90,373,290,1020,1.71,£6-9
91,243,130,1800,4.77,£11-16
92,792,217,1200,1.58,£6-9
93,393,32,780,1.5,£6-8
94,348,248,780,1.67,£6-8
95,14,6,1020,1.69,£6-9
96,747,333,1080,2.71,£8-10
97,131,70,480,1.16,£5-6
98,456,121,780,2.06,£6-8
99,24,318,1440,1.64,£7-10
