,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.8, 'display_amount': '0.6-0.8', 'display_name': 'Distance', 'low_amount': 0.6}, {'high_amount': 0.9, 'display_amount': '1.3-0.9', 'display_name': '£5.00 Minimum', 'low_amount': 1.3}, {'high_amount': 0.8, 'display_amount': '0.6-0.8', 'display_name': 'Time', 'low_amount': 0.6}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 240, 'distance_estimate': 0.53}",7
1,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.88, 'display_amount': '2.16-2.88', 'display_name': 'Distance', 'low_amount': 2.16}, {'high_amount': 2.81, 'display_amount': '2.11-2.81', 'display_name': 'Time', 'low_amount': 2.11}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 960, 'distance_estimate': 1.92}",6
2,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 8, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.29, 'display_amount': '3.21-4.29', 'display_name': 'Distance', 'low_amount': 3.21}, {'high_amount': 4.28, 'display_amount': '3.21-4.28', 'display_name': 'Time', 'low_amount': 3.21}], 'surge_multiplier': 1.0, 'display': '£8-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1440, 'distance_estimate': 2.86}",12
3,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.73, 'display_amount': '1.29-1.73', 'display_name': 'Distance', 'low_amount': 1.29}, {'high_amount': None, 'display_amount': '0.44', 'display_name': '£5.00 Minimum', 'low_amount': 0.44}, {'high_amount': 1.03, 'display_amount': '0.77-1.03', 'display_name': 'Time', 'low_amount': 0.77}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 1.15}",8
4,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 7, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.61, 'display_amount': '2.71-3.61', 'display_name': 'Distance', 'low_amount': 2.71}, {'high_amount': 2.62, 'display_amount': '1.97-2.62', 'display_name': 'Time', 'low_amount': 1.97}], 'surge_multiplier': 1.0, 'display': '£7-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 900, 'distance_estimate': 2.41}",10
5,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.59, 'display_amount': '1.95-2.59', 'display_name': 'Distance', 'low_amount': 1.95}, {'high_amount': 1.8, 'display_amount': '1.35-1.8', 'display_name': 'Time', 'low_amount': 1.35}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.73}",6
6,"{'surge_confirmation_href': None, 'high_estimate': 13, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.08, 'display_amount': '3.8-5.08', 'display_name': 'Distance', 'low_amount': 3.8}, {'high_amount': 5.4, 'display_amount': '4.05-5.4', 'display_name': 'Time', 'low_amount': 4.05}], 'surge_multiplier': 1.0, 'display': '£10-13', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1800, 'distance_estimate': 3.38}",6
7,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.25, 'display_amount': '1.69-2.25', 'display_name': 'Distance', 'low_amount': 1.69}, {'high_amount': 2.3, 'display_amount': '1.72-2.3', 'display_name': 'Time', 'low_amount': 1.72}], 'surge_multiplier': 1.0, 'display': '£5-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 1.5}",8
8,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.78, 'display_amount': '1.33-1.78', 'display_name': 'Distance', 'low_amount': 1.33}, {'high_amount': 1.95, 'display_amount': '1.46-1.95', 'display_name': 'Time', 'low_amount': 1.46}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 660, 'distance_estimate': 1.18}",7
9,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.03, 'display_amount': '2.26-3.03', 'display_name': 'Distance', 'low_amount': 2.26}, {'high_amount': 2.17, 'display_amount': '1.63-2.17', 'display_name': 'Time', 'low_amount': 1.63}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 2.02}",2
