,estimate,trip,pickup_estimate
0,"{'surge_confirmation_href': None, 'high_estimate': 12, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 9, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 4.63, 'display_amount': '3.48-4.63', 'display_name': 'Distance', 'low_amount': 3.48}, {'high_amount': 4.13, 'display_amount': '3.1-4.13', 'display_name': 'Time', 'low_amount': 3.1}], 'surge_multiplier': 1.0, 'display': '£9-12', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1380, 'distance_estimate': 3.09}",8
1,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.08, 'display_amount': '0.8-1.08', 'display_name': 'Distance', 'low_amount': 0.8}, {'high_amount': 0.57, 'display_amount': '1.06-0.57', 'display_name': '£5.00 Minimum', 'low_amount': 1.06}, {'high_amount': 0.85, 'display_amount': '0.64-0.85', 'display_name': 'Time', 'low_amount': 0.64}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 300, 'distance_estimate': 0.72}",4
2,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.43, 'display_amount': '1.83-2.43', 'display_name': 'Distance', 'low_amount': 1.83}, {'high_amount': 1.58, 'display_amount': '1.18-1.58', 'display_name': 'Time', 'low_amount': 1.18}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 1.62}",3
3,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.35, 'display_amount': '1.01-1.35', 'display_name': 'Distance', 'low_amount': 1.01}, {'high_amount': 0.02, 'display_amount': '0.64-0.02', 'display_name': '£5.00 Minimum', 'low_amount': 0.64}, {'high_amount': 1.13, 'display_amount': '0.85-1.13', 'display_name': 'Time', 'low_amount': 0.85}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.9}",13
4,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.34, 'display_amount': '2.5-3.34', 'display_name': 'Distance', 'low_amount': 2.5}, {'high_amount': 2.24, 'display_amount': '1.68-2.24', 'display_name': 'Time', 'low_amount': 1.68}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 2.22}",9
5,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.14, 'display_amount': '0.85-1.14', 'display_name': 'Distance', 'low_amount': 0.85}, {'high_amount': 0.58, 'display_amount': '1.06-0.58', 'display_name': '£5.00 Minimum', 'low_amount': 1.06}, {'high_amount': 0.78, 'display_amount': '0.59-0.78', 'display_name': 'Time', 'low_amount': 0.59}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 240, 'distance_estimate': 0.75}",9
6,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.88, 'display_amount': '1.41-1.88', 'display_name': 'Distance', 'low_amount': 1.41}, {'high_amount': None, 'display_amount': '0.06', 'display_name': '£5.00 Minimum', 'low_amount': 0.06}, {'high_amount': 1.37, 'display_amount': '1.03-1.37', 'display_name': 'Time', 'low_amount': 1.03}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.25}",5
7,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.8, 'display_amount': '1.35-1.8', 'display_name': 'Distance', 'low_amount': 1.35}, {'high_amount': None, 'display_amount': '0.12', 'display_name': '£5.00 Minimum', 'low_amount': 0.12}, {'high_amount': 1.38, 'display_amount': '1.03-1.38', 'display_name': 'Time', 'low_amount': 1.03}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 480, 'distance_estimate': 1.2}",8
8,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.48, 'display_amount': '1.11-1.48', 'display_name': 'Distance', 'low_amount': 1.11}, {'high_amount': None, 'display_amount': '0.51', 'display_name': '£5.00 Minimum', 'low_amount': 0.51}, {'high_amount': 1.18, 'display_amount': '0.88-1.18', 'display_name': 'Time', 'low_amount': 0.88}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 0.99}",8
9,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 3.51, 'display_amount': '2.64-3.51', 'display_name': 'Distance', 'low_amount': 2.64}, {'high_amount': 1.6, 'display_amount': '1.2-1.6', 'display_name': 'Time', 'low_amount': 1.2}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 540, 'distance_estimate': 2.34}",6
