,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,64,256,540,0.86,£5-6
2,340,195,600,1.21,£5-7
3,359,138,960,2.21,£7-9
4,101,66,540,1.2,£5-6
5,762,646,300,0.47,£5-6
6,568,315,960,2.16,£7-9
7,404,524,480,1.24,£5-6
8,437,305,300,0.47,£5-6
9,300,432,360,0.6,£5-6
10,419,587,2160,4.38,£12-16
11,87,491,840,1.91,£6-8
12,332,378,420,1.02,£5-6
13,489,335,1080,3.17,£8-11
14,218,171,360,1.08,£5-6
15,81,56,600,0.73,£5-6
16,673,218,600,2.12,£6-8
17,128,333,600,1.33,£5-7
18,18,101,1020,2.09,£7-9
19,445,450,660,1.02,£5-7
20,786,785,360,1.2,£5-6
21,140,427,540,0.72,£5-6
22,432,290,960,2.08,£6-9
23,829,126,1860,4.97,£12-16
24,588,54,480,1.08,£5-6
25,338,645,720,1.89,£6-8
26,475,476,360,1.49,£5-6
27,282,702,540,1.0,£5-6
28,755,161,600,1.98,£6-8
29,121,116,780,1.12,£5-7
30,121,381,720,1.21,£5-7
31,732,310,900,2.14,£6-9
32,452,712,780,2.3,£6-9
33,159,199,2340,3.36,£11-15
34,58,444,540,1.34,£5-7
35,508,14,1020,2.9,£8-10
36,71,123,540,1.17,£5-6
37,260,301,660,0.81,£5-6
38,572,581,660,2.05,£6-8
39,521,692,360,0.93,£5-6
40,478,102,840,1.57,£6-8
41,376,57,1200,2.97,£8-11
42,659,245,780,2.67,£7-9
43,28,6,420,0.51,£5-6
44,549,192,1500,2.19,£8-11
45,638,216,840,2.1,£6-9
46,354,252,660,1.38,£5-7
47,811,547,420,1.83,£5-7
48,187,782,540,1.26,£5-7
49,693,724,420,1.7,£5-7
50,701,607,1080,2.89,£8-11
51,107,319,360,0.58,£5-6
52,532,570,300,0.15,£5-6
53,386,797,840,1.61,£6-8
54,424,309,900,2.12,£6-9
55,730,639,660,1.96,£6-8
56,170,314,1320,3.42,£9-12
57,85,275,1080,2.19,£7-10
58,133,2,240,0.37,£5-6
59,302,752,300,1.01,£5-6
60,202,217,420,0.86,£5-6
61,282,790,1320,4.01,£9-13
62,215,546,660,1.39,£5-7
63,609,764,360,0.6,£5-6
64,632,638,360,0.92,£5-6
65,411,321,660,1.53,£5-7
66,524,188,540,0.96,£5-6
67,378,428,240,0.53,£5-6
68,115,383,1440,3.56,£9-13
69,203,206,1080,2.54,£7-10
70,50,466,420,0.91,£5-6
71,524,213,720,1.82,£6-8
72,460,503,420,1.14,£5-6
73,195,508,1440,2.18,£8-11
74,737,101,2580,6.54,£15-20
75,14,279,1320,3.33,£9-12
76,104,252,900,2.28,£7-9
77,810,186,2280,5.17,£13-18
78,101,55,600,1.07,£5-6
79,428,191,360,1.07,£5-6
80,219,568,900,2.41,£7-9
81,15,795,780,1.19,£5-7
82,521,68,1440,3.81,£10-13
83,354,294,840,1.76,£6-8
84,1,630,1920,5.33,£12-17
85,612,251,2340,5.13,£13-18
86,681,219,720,2.41,£6-9
87,381,581,420,0.71,£5-6
88,31,506,660,1.14,£5-7
89,796,67,420,1.2,£5-6
90,258,222,360,1.08,£5-6
91,69,386,1020,1.74,£6-9
92,449,340,720,1.71,£5-8
93,132,491,720,1.96,£6-8
94,292,704,1740,4.57,£11-15
95,591,633,720,2.17,£6-8
96,105,591,780,3.39,£8-10
97,564,485,1620,4.14,£10-14
98,92,217,1080,1.65,£6-9
99,215,779,840,0.75,£5-7
100,17,14,600,1.09,£5-6
101,405,274,480,1.26,£5-6
102,481,473,840,2.07,£6-9
103,541,213,240,0.41,£5-6
104,213,111,420,0.81,£5-6
105,615,546,2580,8.41,£17-23
106,290,781,840,2.07,£6-9
107,446,445,300,0.74,£5-6
108,357,622,1500,5.24,£11-15
109,99,568,780,1.66,£6-8
110,140,57,780,1.87,£6-8
111,603,263,2040,4.07,£11-15
112,191,228,480,1.13,£5-6
113,107,492,1320,3.49,£9-12
114,459,718,480,1.62,£5-7
115,492,517,360,1.02,£5-6
116,65,239,420,0.24,£5-6
117,101,361,780,1.77,£6-8
118,751,232,420,0.48,£5-6
119,383,44,540,0.99,£5-6
120,64,68,960,1.17,£5-8
121,646,368,780,1.42,£5-7
122,698,485,540,1.54,£5-7
123,67,339,600,1.21,£5-7
124,93,12,900,2.44,£7-9
125,218,664,600,1.55,£5-7
126,737,244,2400,5.08,£13-18
127,340,159,1380,2.48,£8-11
128,572,17,1080,2.25,£7-10
129,372,14,720,1.73,£6-8
130,108,177,300,0.71,£5-6
131,809,361,720,1.77,£6-8
132,94,820,360,0.95,£5-6
133,49,540,780,1.86,£6-8
134,112,297,840,1.94,£6-8
135,569,101,900,2.0,£6-9
136,81,343,600,1.37,£5-7
137,300,15,1380,2.93,£8-11
138,91,272,360,0.57,£5-6
139,112,170,480,1.07,£5-6
140,458,217,780,1.89,£6-8
141,194,703,1080,1.84,£7-9
142,56,66,1380,2.8,£8-11
143,195,112,780,1.79,£6-8
144,157,670,1440,3.94,£10-13
145,154,12,1200,2.53,£8-10
146,465,229,1320,3.61,£9-12
147,763,119,1200,3.43,£9-12
148,508,308,900,2.0,£6-9
149,557,122,780,1.45,£5-7
150,695,256,1080,2.11,£7-9
151,517,478,480,1.32,£5-6
152,489,773,1020,2.68,£7-10
153,450,801,1080,2.93,£8-11
154,263,393,720,1.4,£5-7
155,564,130,1380,1.86,£7-10
156,421,85,540,1.69,£5-7
157,365,583,1500,3.58,£9-13
158,204,393,420,0.98,£5-6
159,98,109,840,1.6,£6-8
160,247,242,540,1.17,£5-6
161,150,274,600,1.89,£6-8
162,556,453,540,2.0,£5-8
163,80,273,720,2.1,£6-8
164,331,427,420,1.09,£5-6
165,218,430,240,0.28,£5-6
166,383,14,1020,1.91,£7-9
167,101,193,600,1.06,£5-6
168,108,340,2100,3.6,£11-15
169,336,597,2280,5.79,£14-19
170,592,18,2100,3.97,£11-15
171,52,102,780,1.71,£6-8
172,169,653,1560,4.33,£10-14
173,268,12,1440,2.83,£8-12
174,635,707,420,0.56,£5-6
175,335,239,1380,1.43,£7-9
176,578,486,300,0.57,£5-6
177,477,779,1320,4.4,£10-14
178,374,295,900,1.66,£6-8
179,119,52,300,0.51,£5-6
180,74,58,2040,4.58,£12-16
181,372,579,840,1.78,£6-8
182,403,303,660,1.44,£5-7
183,340,74,1500,3.53,£9-13
184,501,401,540,1.46,£5-7
185,680,190,660,2.28,£6-8
186,571,741,300,0.97,£5-6
187,664,612,420,1.14,£5-6
188,98,283,660,1.57,£5-7
189,790,786,300,0.84,£5-6
190,218,224,960,2.55,£7-10
191,428,133,480,0.86,£5-6
192,539,272,1620,3.32,£9-13
193,315,343,360,1.15,£5-6
194,254,24,600,1.48,£5-7
195,66,298,1020,2.31,£7-10
196,344,427,540,1.17,£5-6
197,795,813,1620,3.54,£10-13
198,288,191,420,1.17,£5-6
199,222,300,600,1.43,£5-7
200,150,638,1140,2.59,£7-10
201,229,354,60,0.03,£5-6
202,635,707,420,0.56,£5-6
203,480,530,540,1.41,£5-7
204,140,154,1260,2.72,£8-11
205,470,789,480,1.76,£5-7
206,4,71,780,2.17,£6-9
207,566,601,420,0.62,£5-6
208,263,536,840,1.83,£6-8
209,510,448,300,0.43,£5-6
210,430,597,780,1.93,£6-8
211,666,133,480,0.83,£5-6
212,16,365,780,1.44,£5-8
213,427,66,420,0.92,£5-6
214,191,248,540,1.44,£5-7
215,3,130,840,1.65,£6-8
216,319,517,1140,3.02,£8-11
217,707,655,300,0.95,£5-6
218,252,583,360,0.95,£5-6
219,803,264,1200,1.75,£7-9
220,278,698,1620,3.21,£9-13
221,754,330,780,2.06,£6-8
222,58,230,1260,2.19,£7-10
223,322,202,660,1.2,£5-7
224,14,594,780,1.87,£6-8
225,14,131,660,0.95,£5-6
226,133,159,1320,2.93,£8-11
227,609,596,900,2.69,£7-10
228,138,440,1320,3.25,£9-12
229,141,341,1500,1.42,£7-10
230,544,275,420,0.85,£5-6
231,273,781,1560,3.67,£10-13
232,581,109,1380,1.73,£7-10
233,88,102,1500,3.14,£9-12
234,374,101,1380,3.13,£9-12
235,158,191,900,2.81,£7-10
236,16,295,1560,3.32,£9-13
237,602,772,300,0.88,£5-6
238,403,238,540,1.24,£5-6
239,134,453,360,0.87,£5-6
240,695,703,780,1.74,£6-8
241,67,93,600,1.56,£5-7
242,194,578,1440,2.47,£8-11
243,685,615,600,1.78,£5-7
244,158,168,600,1.27,£5-7
245,16,182,1080,3.56,£8-12
246,668,599,720,1.6,£5-7
247,62,270,420,1.2,£5-6
248,549,194,660,1.33,£5-7
249,187,757,300,0.7,£5-6
250,115,240,900,2.18,£6-9
251,14,68,540,1.23,£5-6
252,457,246,1320,3.08,£8-12
253,703,809,480,0.92,£5-6
254,26,12,660,1.53,£5-7
255,380,99,600,1.09,£5-7
256,782,648,540,1.38,£5-7
257,785,39,1260,3.71,£9-12
258,819,803,840,2.22,£6-9
259,527,515,240,0.35,£5-6
260,815,387,300,0.71,£5-6
261,159,173,1440,2.49,£8-11
262,55,795,1380,2.97,£8-12
263,154,67,900,2.3,£7-9
264,27,55,720,1.4,£5-7
265,755,36,480,1.35,£5-6
266,351,326,300,0.28,£5-6
267,378,700,540,1.76,£5-7
268,78,58,660,1.14,£5-7
269,77,433,300,0.44,£5-6
270,424,265,1020,2.51,£7-10
271,129,71,1440,2.43,£8-11
272,222,18,1200,2.27,£7-10
273,101,509,600,0.94,£5-6
274,27,800,1560,4.06,£10-14
275,214,26,540,0.74,£5-6
276,249,374,660,1.17,£5-7
277,411,217,1200,2.13,£7-10
278,779,574,780,2.1,£6-9
279,203,154,840,1.93,£6-8
280,55,811,1380,3.74,£9-13
281,782,597,480,1.09,£5-6
282,489,104,420,0.79,£5-6
283,432,191,360,1.27,£5-6
284,421,162,720,1.58,£5-8
285,67,341,1260,1.83,£7-10
286,159,611,1800,3.32,£10-13
287,204,509,720,1.64,£6-8
288,626,248,1020,3.12,£8-11
289,331,136,720,1.32,£5-7
290,150,28,1320,3.17,£9-12
