,estimate,trip,pickup_estimate
1,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/9782f9e3-0778-4da7-ab1d-19beed426c4e', 'high_estimate': 9, 'expires_at': 1542212581, 'surge_confirmation_id': '9782f9e3-0778-4da7-ab1d-19beed426c4e', 'minimum': 6, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.46, 'display_amount': '1.85-2.46', 'display_name': 'Distance', 'low_amount': 1.85}, {'high_amount': 1.35, 'display_amount': '1.14-1.35', 'display_name': 'Surge x1.2', 'low_amount': 1.14}, {'high_amount': 1.79, 'display_amount': '1.34-1.79', 'display_name': 'Time', 'low_amount': 1.34}], 'surge_multiplier': 1.2, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 600, 'distance_estimate': 1.64}",9
2,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.26, 'display_amount': '0.95-1.26', 'display_name': 'Distance', 'low_amount': 0.95}, {'high_amount': 2.18, 'display_amount': '1.64-2.18', 'display_name': 'Time', 'low_amount': 1.64}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 720, 'distance_estimate': 0.84}",6
3,"{'surge_confirmation_href': None, 'high_estimate': 14, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 10, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 5.75, 'display_amount': '4.31-5.75', 'display_name': 'Distance', 'low_amount': 4.31}, {'high_amount': 4.95, 'display_amount': '3.71-4.95', 'display_name': 'Time', 'low_amount': 3.71}], 'surge_multiplier': 1.0, 'display': '£10-14', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1680, 'distance_estimate': 3.83}",10
4,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 0.88, 'display_amount': '0.66-0.88', 'display_name': 'Distance', 'low_amount': 0.66}, {'high_amount': 0.41, 'display_amount': '0.93-0.41', 'display_name': '£5.00 Minimum', 'low_amount': 0.93}, {'high_amount': 1.21, 'display_amount': '0.91-1.21', 'display_name': 'Time', 'low_amount': 0.91}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 420, 'distance_estimate': 0.59}",6
5,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.56, 'display_amount': '1.93-2.56', 'display_name': 'Distance', 'low_amount': 1.93}, {'high_amount': 2.46, 'display_amount': '1.85-2.46', 'display_name': 'Time', 'low_amount': 1.85}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 840, 'distance_estimate': 1.71}",11
6,"{'surge_confirmation_href': 'https://api.uber.com/surge-confirmations/c8d337e1-7a7f-41ca-bac9-3edad0606280', 'high_estimate': 7, 'expires_at': 1542212586, 'surge_confirmation_id': 'c8d337e1-7a7f-41ca-bac9-3edad0606280', 'minimum': 7, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.05, 'display_amount': '0.79-1.05', 'display_name': 'Distance', 'low_amount': 0.79}, {'high_amount': 0.38, 'display_amount': '0.91-0.38', 'display_name': '£5.00 Minimum', 'low_amount': 0.91}, {'high_amount': 1.5, 'display_amount': '1.5', 'display_name': 'Surge x1.3', 'low_amount': 1.5}, {'high_amount': 1.07, 'display_amount': '0.8-1.07', 'display_name': 'Time', 'low_amount': 0.8}], 'surge_multiplier': 1.3, 'display': '£6-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.7}",7
7,"{'surge_confirmation_href': None, 'high_estimate': 6, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.38, 'display_amount': '1.03-1.38', 'display_name': 'Distance', 'low_amount': 1.03}, {'high_amount': None, 'display_amount': '0.62', 'display_name': '£5.00 Minimum', 'low_amount': 0.62}, {'high_amount': 1.13, 'display_amount': '0.85-1.13', 'display_name': 'Time', 'low_amount': 0.85}], 'surge_multiplier': 1.0, 'display': '£5-6', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 360, 'distance_estimate': 0.92}",11
8,"{'surge_confirmation_href': None, 'high_estimate': 9, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.41, 'display_amount': '1.8-2.41', 'display_name': 'Distance', 'low_amount': 1.8}, {'high_amount': 3.53, 'display_amount': '2.65-3.53', 'display_name': 'Time', 'low_amount': 2.65}], 'surge_multiplier': 1.0, 'display': '£6-9', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 1200, 'distance_estimate': 1.6}",6
9,"{'surge_confirmation_href': None, 'high_estimate': 8, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 6, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 2.4, 'display_amount': '1.8-2.4', 'display_name': 'Distance', 'low_amount': 1.8}, {'high_amount': 2.28, 'display_amount': '1.71-2.28', 'display_name': 'Time', 'low_amount': 1.71}], 'surge_multiplier': 1.0, 'display': '£6-8', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 780, 'distance_estimate': 1.6}",14
10,"{'surge_confirmation_href': None, 'high_estimate': 7, 'surge_confirmation_id': None, 'minimum': 5, 'low_estimate': 5, 'fare_breakdown': [{'high_amount': 2.5, 'display_amount': '2.5', 'display_name': 'Base Fare', 'low_amount': 2.5}, {'high_amount': 1.78, 'display_amount': '1.34-1.78', 'display_name': 'Distance', 'low_amount': 1.34}, {'high_amount': 1.95, 'display_amount': '1.46-1.95', 'display_name': 'Time', 'low_amount': 1.46}], 'surge_multiplier': 1.0, 'display': '£5-7', 'currency_code': 'GBP'}","{'distance_unit': 'mile', 'duration_estimate': 660, 'distance_estimate': 1.19}",11
